,symbol,Sharpe_Ratios,Circulating_Supply,Market_Cap,class
0,BCH/USD,-1.4525022895592428e-17,-1.4525022895592428e-17,1.01675160269147e-16,0
1,BSV/USD,0.39813445548325077,0.001376221291857362,-0.47052904868948864,0
2,BTC/USD,-0.638816680114804,1.3295794872291729,1.9958874256475607,0
3,DASH/USD,-0.2202509503390878,-0.6930314107096746,1.0341039934707235,2
4,EOS/USD,0.07540326014225197,1.6970877884267117,0.03793707928366349,0
5,ETC/USD,-0.010931074808557206,-1.4662455789327646,0.8226090140398038,2
6,ETH/USD,0.4001004978970291,1.0058938622241709,1.200623548949027,0
7,LTC/USD,0.393296205587729,0.9236801664231706,-0.3702332553155038,0
8,MKR/USD,-1.3685288460933693,-0.6680031853846474,-0.21461714931542317,2
9,NEO/USD,0.5231968128063468,-0.28838353704763553,-1.6038464452340249,0
10,TRX/USD,-0.10291417112811746,1.000376862166792,-0.8154958356384215,0
11,USDC/USD,2.202053067540691,-1.3104851077191624,-0.023779384347667357,1
12,USDT/USD,2.2874807905454495,0.23017627101340468,0.13530342047961816,1
13,XLM/USD,-0.14674817753850278,-0.8455926827497423,-0.9513387856912732,0
14,XMR/USD,-1.464129122762555,-1.5765720684614144,-0.7793335120160158,2
15,XRP/USD,-1.0784035135365606,-0.718840613942237,1.6920304558055421,2
16,XTZ/USD,-1.2489425536811947,1.3789835261719976,-1.6893215214281185,0
