ticker,market_cap,price,circulating_suppy,volume_24h,sharpe_ratio,SD,PC1,PC2,PC3,Class,symbol,class
BTC/USD,170344525024.0,9241.28,18433001.166937914,18138155331.0,0.8582568519857435,0.740800526205968,7.425563249205204,-3.03128861181436,0.2899051683201268,2,BTC/USD,2
ETH/USD,26891655165.0,240.62,111759850.24104397,7373210005.0,1.3629933989688365,0.940571362784363,0.7155673985770216,-0.38497751490562865,-0.30461543712700184,0,ETH/USD,0
USDT/USD,9169295586.0,0.997965,9187993152.064451,21989852732.0,0.14371881727216504,0.025716132248039158,3.3778547169894297,3.182693088039991,0.2261803690202185,1,USDT/USD,1
XRP/USD,8800505373.0,0.198846,44257894918.680786,1191772223.0,0.4617334735339005,0.7583511337707779,0.19868293527392555,1.1498949737002928,1.4447601971840875,0,XRP/USD,0
BCH/USD,4252630354.0,230.34,18462404.940522704,1140703709.0,0.7136873450165028,1.0298394708430898,-0.08484887371903732,0.34245178412663807,-0.3259287152927135,0,BCH/USD,0
ADA/USD,3401015614.0,0.131176,25927117872.17174,448868049.0,2.300787834226481,1.0065760461398798,-1.062112652537232,-1.2702817950500482,0.49511623901742247,0,ADA/USD,0
LTC/USD,2848570986.0,43.8,65035867.26027398,1890449817.0,0.5550733936323511,0.8796891908492572,0.1519783598493452,0.87440787186284,-0.3180528834838029,0,LTC/USD,0
LINK/USD,2834583353.0,8.1,349948562.09876543,1184544610.0,2.457766532524211,1.0322862012199188,-1.012495609604961,-1.4816506979360755,-0.5337023982330167,0,LINK/USD,0
EOS/USD,2391829870.0,2.56,934308542.96875,1294463624.0,0.4970149218207942,0.9211907076731096,0.050822649557127696,0.8632134387722824,-0.27989224009243263,0,EOS/USD,0
XTZ/USD,2179586211.0,2.96,736346692.9054054,256165519.0,1.5270089757781131,1.0354317335895402,-0.6767895572981532,-0.4843752169368343,-0.41418211556062245,0,XTZ/USD,0
XLM/USD,1865057741.0,0.091118,20468598312.078842,304430500.0,1.494698783076278,0.8704418754620418,-0.5470645856879001,-0.11761444621284203,0.35914802798195855,0,XLM/USD,0
XMR/USD,1202511933.0,68.2,17632139.78005865,68342261.0,1.0818264274839502,0.8465747841316411,-0.26772709123339955,0.36043901368322134,-0.4091332935918606,0,XMR/USD,0
ATOM/USD,762013579.0,4.0,190503394.75,165769893.0,0.421680164299716,0.9529616996097452,-0.08633147863324084,0.8874577994522452,-0.3115977588508166,0,ATOM/USD,0
ETC/USD,733885303.0,6.31,116305119.33438987,576891287.0,0.9765884230040845,1.0167824795951952,-0.3812421940420373,0.16829063247553236,-0.37240743606723076,0,ETC/USD,0
DASH/USD,692877915.0,72.18,9599306.109725686,241982235.0,1.1647036165609848,1.1794833940456217,-0.6652937960255192,-0.37056499477923366,-0.3859565653248596,0,DASH/USD,0
ZEC/USD,593854650.0,61.9,9593774.6365105,264359273.0,1.542829716184819,0.9995547414027458,-0.6504210384447994,-0.42482569733384185,-0.45040380955362624,0,ZEC/USD,0
DOGE/USD,409523074.0,0.003266,125389796080.83282,103810961.0,1.0900194416630884,1.0354898560194252,-0.9350853730974972,0.03997986880286433,4.598678298812905,2,DOGE/USD,0
BAT/USD,389407617.0,0.262943,1480958295.1438146,132737139.0,0.9243598457837082,0.9641681595617476,-0.3550087454073827,0.3274040931277772,-0.32208941316230527,0,BAT/USD,0
QTUM/USD,228637468.0,2.36,96880283.05084746,412084746.0,1.0716333189097507,0.9534068168064176,-0.38307895846887874,0.19401263539772137,-0.39383465321688854,0,QTUM/USD,0
ICX/USD,224895789.0,0.410664,547639405.937701,37036499.0,1.9430908596107468,1.211748001960554,-1.1265327733199468,-1.2562915423964751,-0.4615048633536454,0,ICX/USD,0
REP/USD,220219794.0,20.02,10999989.710289711,21243050.0,1.4595580460277964,1.23513291729773,-0.9142987887098983,-0.7836276410088215,-0.42084421080360496,0,REP/USD,0
OMG/USD,214051467.0,1.53,139902919.60784313,75422135.0,1.5902659689003331,1.1809422874666702,-0.9178295013059261,-0.8144543276958939,-0.43696445759821895,0,OMG/USD,0
DAI/USD,197459036.0,1.01,195503996.03960395,7945671.0,0.308670035227913,0.09980859587885309,0.884275557002277,2.678666239883419,-0.384360671826298,2,DAI/USD,1
LSK/USD,153191393.0,1.23,124545847.96747968,5138410.0,1.49973485234866,1.1536252037087964,-0.8523512186114848,-0.6634218789715939,-0.42996000480543456,0,LSK/USD,0
SC/USD,139874086.0,0.003345,41815870254.11061,4297531.0,1.633140457291373,1.2793807156166377,-1.1970255751229628,-1.0419010671362716,1.226225837415327,2,SC/USD,0
WAVES/USD,133762969.0,1.31,102109136.64122137,37392348.0,0.8123148124807283,0.9806811353156285,-0.3284423627340464,0.41767389165288094,-0.3630101855535937,0,WAVES/USD,0
NANO/USD,132480370.0,0.994237,133248279.83669889,7077603.0,1.0785058481402219,1.0766741956861818,-0.5654929356527582,-0.05761009164908203,-0.3853813387367667,0,NANO/USD,0
PAXG/USD,43250160.0,1812.56,23861.36734783952,1139485.0,1.06477929934513,0.2491982176050736,0.9039651790096881,1.1785223231894089,-0.43581978756601814,0,PAXG/USD,0
GNO/USD,30442267.0,27.56,1104581.5312046444,155314.0,1.8166470164542836,0.8827548750199715,-0.6992369358069571,-0.4822221303401115,-0.5003718979512879,0,GNO/USD,0
