market_cap,Class
170904185351.0,1
26933462306.0,1
9192578769.0,0
8879070658.0,1
4387765898.0,1
3199685249.0,0
2923058793.0,1
2457250915.0,1
2147433431.0,1
1958433864.0,1
1916686727.0,1
1234552012.0,1
771259648.0,1
757412114.0,1
695059416.0,1
538636128.0,1
472988220.0,2
382616518.0,1
221971400.0,1
217857954.0,1
215345498.0,1
200385092.0,0
199297086.0,1
152321739.0,1
147168671.0,0
135458115.0,1
123308415.0,1
43019888.0,1
30518306.0,1
